sku,id_confidence,five_tests_logged,public_label,mineral_name_public,notes
UP8-PEN-001,probable,no,Gneiss,,lithology collector lock 2026-09-14; five-test protocol not logged
UP8-PEN-002,probable,no,Banded gneiss,,lithology collector lock 2026-09-14; five-test protocol not logged
UP8-PEN-003,probable,no,Dark-banded gneiss,,working field word hornblende withheld; not Confirmed
UP8-PEN-004,probable,no,Banded quartzite,,lithology collector lock 2026-09-14; five-test protocol not logged
UP8-PEN-005,probable,no,Bedded chert,,lithology collector lock 2026-09-14; five-test protocol not logged
UP8-PEN-006,field-id-only,no,Weathered pitted cobble,,type pending; no mineral name
UP8-PEN-007,probable,no,Iron-stained gneiss,,lithology collector lock; stain is description not a mineral ID
UP8-PEN-008,confirmed,yes,Grey opaque quartz,quartz,five tests 2026-09-24; knife no scratch; scratches glass; white/none streak; opaque; 365nm inert; no fizz; variety not locked
UP8-PEN-009,confirmed,yes,Dark green opaque quartz,quartz,five tests 2026-09-24; same protocol as 008; jasper/greenstone withheld; not chalcedony
UP8-PEN-010,confirmed,yes,Pale green opaque quartz,quartz,five tests 2026-09-24; same protocol as 008; jasper/greenstone withheld; not chalcedony
